Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
USA/CT-UW328/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_418895,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-14,Pavitra Roychoudhury et al A,,
USA/CT-Yale-005/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_416419,Human,B1,Connecticut State Department of Public Health,A,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-09,Joseph Fauver et al B (https://dx.doi.org/10.1016/j.cell.2020.04.021),,
USA/CT-Yale-007/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_416421,Human,B1,Yale Clinical Virology Laboratory,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-13,Joseph Fauver et al B (https://dx.doi.org/10.1016/j.cell.2020.04.021),,
USA/CT-Yale-009/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_416423,Human,B1,Yale Clinical Virology Laboratory,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-12,Joseph Fauver et al B (https://dx.doi.org/10.1016/j.cell.2020.04.021),,
USA/CT-Yale-010/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_416424,Human,B1,Yale Clinical Virology Laboratory,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-14,Joseph Fauver et al B (https://dx.doi.org/10.1016/j.cell.2020.04.021),,
USA/CT-Yale-011/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428250,Human,A2a,Yale Clinical Virology Laboratory,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-11,Joseph Fauver et al A,,
USA/CT-Yale-013/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_419517,Human,A2a,Yale Clinical Virology Laboratory,B.1.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-19,Joseph Fauver et al A,,
USA/CT-Yale-014/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_419518,Human,A2a,Yale Clinical Virology Laboratory,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-19,Joseph Fauver et al A,,
USA/CT-Yale-019/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428740,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-19,Joseph Fauver et al A,,
USA/CT-Yale-023/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_420091,Human,B1,Yale Clinical Virology Laboratory,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-18,Joseph Fauver et al A,,
USA/CT-Yale-024/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_420092,Human,A2a,Yale Clinical Virology Laboratory,B.1.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-18,Joseph Fauver et al A,,
USA/CT-Yale-034/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_419524,Human,B1,Yale Clinical Virology Laboratory,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-15,Joseph Fauver et al A,,
USA/CT-Yale-043/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_420098,Human,A2a,Yale Clinical Virology Laboratory,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-19,Joseph Fauver et al A,,
USA/CT-Yale-044/2020,G,,20A,USA,USA,Connecticut,,EPI_ISL_419512,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-23,Joseph Fauver et al A,,
USA/CT-Yale-051/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428390,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-26,Joseph Fauver et al A,,
USA/CT-Yale-055/2020,V,,19A,USA,USA,Connecticut,,EPI_ISL_428376,Human,A1a,Yale COVID-19 Biorepository,B.2,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-27,Joseph Fauver et al A,,
USA/CT-Yale-056/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428377,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-27,Joseph Fauver et al A,,
USA/CT-Yale-057/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_428378,Human,B1,Yale COVID-19 Biorepository,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-28,Joseph Fauver et al A,,
USA/CT-Yale-058/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428388,Human,A2a,Yale COVID-19 Biorepository,B.1.26,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-28,Joseph Fauver et al A,,
USA/CT-Yale-060/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428391,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,
USA/CT-Yale-062/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428387,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,
USA/CT-Yale-066/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428385,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-04,Joseph Fauver et al A,,
USA/CT-Yale-067/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428399,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-04,Joseph Fauver et al A,,
USA/CT-Yale-068/2020,G,,20A,USA,USA,Connecticut,,EPI_ISL_428386,Human,A2a,Yale COVID-19 Biorepository,B.1.p11,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-03,Joseph Fauver et al A,,
USA/CT-Yale-075/2020,GH,,20A,USA,USA,Connecticut,,EPI_ISL_428389,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,
USA/CT-Yale-079/2020,G,,20A,USA,USA,Ohio,,EPI_ISL_431080,Human,A2a,Yale COVID-19 Biorepository,B.1.p11,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-02,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-080/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_428402,Human,B1,Yale COVID-19 Biorepository,A.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-06,Joseph Fauver et al A,,
USA/CT-Yale-082/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428746,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-07,Joseph Fauver et al A,,
USA/CT-Yale-084/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428393,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-06,Joseph Fauver et al A,,
USA/CT-Yale-088/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_428747,Human,B4,Yale COVID-19 Biorepository,A,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-06,Joseph Fauver et al A,,
USA/CT-Yale-091/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428395,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-07,Joseph Fauver et al A,,
USA/CT-Yale-092/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428396,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-07,Joseph Fauver et al A,,
USA/CT-Yale-095/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_428398,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-08,Joseph Fauver et al A,,
USA/CT-Yale-102/2020,S,,19B,USA,USA,Ohio,,EPI_ISL_431081,Human,B4,Yale COVID-19 Biorepository,A,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-06,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-105/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435703,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-07,Joseph Fauver et al A,,
USA/CT-Yale-109/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435706,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-08,Joseph Fauver et al A,,
USA/CT-Yale-110/2020,GH,,20A,USA,USA,Connecticut,,EPI_ISL_428751,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-09,Joseph Fauver et al A,,
USA/CT-Yale-111/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435707,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-09,Joseph Fauver et al A,,
USA/CT-Yale-114/2020,V,,19A,USA,USA,Ohio,,EPI_ISL_431082,Human,A1a,Yale COVID-19 Biorepository,B.2,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-10,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-116/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431083,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-10,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-120/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431084,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-11,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-121/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431085,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-11,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-123/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431086,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-11,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-124/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431087,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-16,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-125/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431088,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-09,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-127/2020,GR,,20B,USA,USA,Ohio,,EPI_ISL_431089,Human,A2a,Yale COVID-19 Biorepository,B.1.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-13,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-129/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431092,Human,A2a,Yale COVID-19 Biorepository,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-13,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-130/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431093,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-13,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-133/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431095,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-10,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-134/2020,GH,,20C,USA,USA,Ohio,,EPI_ISL_431096,Human,A2a,Yale COVID-19 Biorepository,B.1.3,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-16,Joseph Fauver et al A,,Cincinnati
USA/CT-Yale-143/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435713,Human,A2a,Connecticut State Department of Public Health,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-21,Joseph Fauver et al A,,
USA/CT-Yale-145/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435715,Human,A2a,Connecticut State Department of Public Health,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-21,Joseph Fauver et al A,,
USA/CT-Yale-147/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435717,Human,A2a,Connecticut State Department of Public Health,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-25,Joseph Fauver et al A,,
USA/CT-Yale-151/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_435720,Human,A2a,Yale Clinical virology,B.1,Older,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-13,Joseph Fauver et al A,,
USA/CT-Yale-153/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_452144,Human,A2a,Yale COVID-19 Biorepository,B.1.3,One month ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-29,Joseph Fauver et al A,,
USA/CT-Yale-199/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463138,Human,A2a,Yale Clinical Virology Laboratory,B.1.26,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-30,Joseph Fauver et al A,,Meriden
USA/CT-Yale-205/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463143,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-30,Joseph Fauver et al A,,Wallingford
USA/CT-Yale-206/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_463144,Human,A2a,Yale Clinical Virology Laboratory,B.1.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-30,Joseph Fauver et al A,,West Haven
USA/CT-Yale-207/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_463145,Human,A2a,Yale Clinical Virology Laboratory,B.1.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-30,Joseph Fauver et al A,,Woodbridge
USA/CT-Yale-213/2020,GH,,20A,USA,USA,Connecticut,,EPI_ISL_463150,Human,A2a,Yale Clinical Virology Laboratory,B.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-30,Joseph Fauver et al A,,Branford
USA/CT-Yale-217/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463153,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,West Haven
USA/CT-Yale-220/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_463155,Human,A2a,Yale Clinical Virology Laboratory,B.1.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,Hamden
USA/CT-Yale-227/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463161,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,New Haven
USA/CT-Yale-228/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463162,Human,A2a,Yale Clinical Virology Laboratory,B.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,New Haven
USA/CT-Yale-233/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463166,Human,A2a,Yale Clinical Virology Laboratory,B.1,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-03-31,Joseph Fauver et al A,,North Haven
USA/CT-Yale-236/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_463168,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,One week ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,West Haven
USA/CT-Yale-244/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469172,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,West Haven
USA/CT-Yale-245/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469173,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,West Haven
USA/CT-Yale-247/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469175,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,Milford
USA/CT-Yale-248/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469176,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,Milford
USA/CT-Yale-255/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469181,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,New Haven
USA/CT-Yale-256/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469182,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,Hamden
USA/CT-Yale-258/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469184,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-01,Joseph Fauver et al A,,East Haven
USA/CT-Yale-263/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469189,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,New Haven
USA/CT-Yale-266/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469191,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,Mount-Vernon
USA/CT-Yale-268/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469193,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,West Haven
USA/CT-Yale-275/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469198,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,West Haven
USA/CT-Yale-277/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469200,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,Shelton
USA/CT-Yale-280/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469203,Human,A2a,Yale Clinical Virology Laboratory,B.1,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,Bridgeport
USA/CT-Yale-286/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_469208,Human,A2a,Yale Clinical Virology Laboratory,B.1.3,3-7 days ago,North America,North America,,Grubaugh Lab - Yale School of Public Health,,2020-04-02,Joseph Fauver et al A,,Stratford
